219581,s_444998
219582,s_350316
219583,s_226890
219584,s_423723
219585,s_8203
219586,s_70487
219587,s_162634
219588,s_447870
219589,s_3684784
219590,s_2303143
219591,s_430699
219592,s_467085
219593,s_13177
219594,s_621759
219595,s_434585
219596,s_3710069
219597,s_50351
219598,s_1705664
219599,s_1705664
219600,s_819290
219601,s_2901262
219602,s_1198407
219603,s_4052093
219604,s_3702006
219605,s_4972
219606,s_301215
219607,s_3131512
219608,s_3131512
219609,s_533833
219610,s_321721
219611,s_3691337
219612,s_485144
219613,s_685058
219614,s_301531
219615,s_3889
219616,s_299383
219617,s_266410
219618,s_506643
219619,s_2783591
219620,s_295706
219621,s_413723
219622,s_78967
219623,s_4029116
219624,s_3894979
219625,s_52362
219626,s_195436
219627,s_525396
219628,s_3288306
219629,s_46479
219630,s_46479
219631,s_1329736
219632,s_490007
219633,s_46721
219634,s_3985246
219635,s_525396
219636,s_506646
219637,s_563073
219638,s_3967201
219639,s_3788495
219640,s_209568
219641,s_209568
219642,s_647739
219643,s_649379
219644,s_648391
219645,s_647739
219646,s_2440709
219647,s_3978391
219648,s_3978391
219649,s_3025986
219650,s_441708
219651,s_3637026
219652,s_456703
219653,s_364305
219654,s_827748
219655,s_507000
219656,s_3482211
219657,s_3905746
219658,s_1198312
219659,s_3211790
219660,s_467085
219661,s_410718
219662,s_610240
219663,s_47519
219664,s_3360283
219665,s_3360283
219666,s_3877397
219667,s_251652
219668,s_2819490
219669,s_326331
219670,s_383937
219671,s_3369930
219672,s_48282
219673,s_296384
219674,s_3922
219675,s_254310
219676,s_3816514
219677,s_23634
219678,s_23634
219679,s_23634
219680,s_297832
219681,s_81630
219682,s_3325857
219683,s_445798
219684,s_1694061
219685,s_423300
219686,s_712595
219687,s_394261
219688,s_11618
219689,s_1188731
219690,s_2836817
219691,s_626485
219692,s_645725
219693,s_12298
219694,s_7890
219695,s_1387434
219696,s_1468536
219697,s_143910
219698,s_773277
219699,s_3730145
219700,s_3812235
219701,s_561387
219702,s_3169096
219703,s_926156
219704,s_3356003
219705,s_301215
219706,s_3697881
219707,s_3710588
219708,s_3885417
219709,s_374984
219710,s_479405
219711,s_479405
219712,s_479405
219713,s_45040
219714,s_89288
219715,s_3574314
219716,s_2893943
219717,s_1421048
219718,s_1844579
219719,s_203539
219720,s_576377
219721,s_3315343
219722,s_2641302
219723,s_3790747
219724,s_254310
219725,s_3012238
219726,s_2156168
219727,s_1416035
219728,s_21927
219729,s_410705
219730,s_410705
219731,s_299023
219732,s_559211
219733,s_369634
219734,s_80448
219735,s_413580
219736,s_496351
219737,s_35640
219738,s_86264
219739,s_1703990
219740,s_396753
219741,s_166522
219742,s_2011969
219743,s_2011969
219744,s_2011969
219745,s_2011969
219746,s_2011969
219747,s_2011969
219748,s_809240
219749,s_2011969
219750,s_2011969
219751,s_4036036
219752,s_843238
219753,s_304845
219754,s_13177
219755,s_1165316
219756,s_3058533
219757,s_3984955
219758,s_523391
219759,s_543988
219760,s_411043
219761,s_376233
219762,s_533970
219763,s_534188
219764,s_4022002
219765,s_3978391
219766,s_433280
219767,s_479824
219768,s_292455
219769,s_394403
219770,s_324213
219771,s_3743209
219772,s_404558
219773,s_404558
219774,s_3446229
219775,s_473862
219776,s_399586
219777,s_3814796
219778,s_69183
219779,s_479529
219780,s_712117
219781,s_2230096
219782,s_684547
219783,s_4244
219784,s_296179
219785,s_411105
219786,s_250851
219787,s_3542034
219788,s_400482
219789,s_400482
219790,s_398456
219791,s_412057
219792,s_294960
219793,s_264128
219794,s_2920634
219795,s_97407
219796,s_628924
219797,s_4941
219798,s_9950
219799,s_9950
219800,s_3647052
219801,s_647507
219802,s_46984
219803,s_1917
219804,s_824128
219805,s_391018
219806,s_451956
219807,s_160207
219808,s_160207
219809,s_454171
219810,s_3999022
219811,s_1208253
219812,s_364305
219813,s_926156
219814,s_2283711
219815,s_2567884
219816,s_61648
219817,s_284588
219818,s_349953
219819,s_3964460
219820,s_958323
219821,s_211134
219822,s_434942
219823,s_3230173
219824,s_401037
219825,s_166522
219826,s_589131
219827,s_7301
219828,s_4000936
