4,397:-49,142:-81,873:-79,830:-89,708:-66,471:-83,791:-79,968:-82,146:-88,742:-85
76,844:-84,873:-87,386:-81,659:-85,210:-89,231:-69,935:-88,745:-72,600:-89,331:-77
65,551:-80,966:-73,38:-64,584:-75,646:-57,183:-74,84:-34,785:-61,360:-74,903:-64
42,326:-82,716:-31,935:-79,967:-34,20:-34,842:-68,523:-74,833:-81,361:-88,405:-91
76,742:-81,364:-84,344:-83,240:-76,745:-77,117:-87,178:-87,975:-78,292:-80,231:-81
76,833:-83,745:-66,834:-74,364:-66,881:-46,39:-74,791:-73,292:-80,506:-69,514:-72
46,993:-80,499:-88,833:-85,168:-76,418:-75,935:-89,363:-90,819:-78,566:-81,641:-84
42,20:-29,967:-29,446:-87,935:-81,842:-76,158:-86,716:-17,523:-65,529:-90,804:-87
42,842:-76,523:-61,967:-23,925:-77,935:-73,20:-51,326:-82,393:-88,716:-25,433:-77
41,842:-56,446:-55,804:-76,158:-75,569:-86,716:-63,752:-88,535:-90,52:-93,925:-66
76,506:-68,592:-78,514:-76,745:-63,117:-69,742:-73,344:-67,39:-76,331:-70,58:-80
1,363:-33,819:-64,817:-68,121:-69,112:-85,665:-76,641:-72,33:-77,772:-83,566:-72
0,946:-78,92:-82,65:-31,,,,,,,
21,422:-88,385:-82,598:-84,8:-46,796:-80,434:-78,868:-83,5:-48,579:-64,170:-59
31,898:-49,913:-35,845:-90,754:-83,471:-94,,,,,
0,946:-69,901:-86,65:-42,713:-80,794:-90,675:-75,136:-62,,,
47,790:-53,987:-79,575:-66,322:-42,31:-88,351:-84,274:-79,281:-60,799:-83,1005:-55
42,20:-35,967:-35,935:-87,833:-92,716:-15,523:-78,,,,
29,772:-84,363:-79,168:-89,499:-77,776:-67,754:-74,33:-80,993:-41,100:-88,
31,65:-85,535:-83,913:-35,2:-84,845:-73,263:-85,898:-66,1006:-68,975:-94,742:-91
1,970:-77,349:-77,363:-36,714:-68,566:-71,993:-68,817:-64,111:-83,641:-69,168:-66
42,716:-21,842:-78,20:-17,100:-81,935:-79,433:-82,926:-81,523:-59,833:-75,967:-17
4,791:-82,717:-88,708:-69,748:-88,742:-88,968:-84,87:-91,466:-86,397:-56,2:-77
0,713:-82,879:-88,946:-79,901:-86,546:-86,0:-87,136:-53,256:-68,65:-41,
19,45:-80,969:-72,364:-66,516:-75,554:-76,471:-73,366:-84,642:-81,808:-73,520:-22
42,523:-62,446:-80,433:-83,842:-77,716:-25,833:-83,967:-20,804:-85,20:-20,935:-72
0,513:-86,996:-88,709:-92,92:-81,65:-42,713:-69,678:-92,675:-83,946:-70,
0,675:-84,946:-79,0:-85,65:-47,901:-88,,,,,
25,2:-76,146:-75,210:-81,142:-72,659:-88,968:-76,1006:-91,191:-92,39:-77,554:-85
12,546:-44,968:-76,953:-90,834:-88,240:-53,845:-60,1006:-52,257:-72,678:-85,
49,760:-54,39:-53,659:-80,366:-72,668:-78,58:-81,630:-40,997:-86,,
21,170:-56,579:-80,434:-87,8:-47,383:-77,5:-46,944:-88,,,
42,804:-77,716:-26,842:-60,833:-81,158:-79,20:-16,446:-76,967:-16,523:-69,
16,495:-83,919:-40,811:-79,685:-39,468:-80,150:-83,874:-77,718:-85,,
19,577:-87,717:-86,232:-83,969:-85,516:-84,471:-81,808:-86,520:-35,76:-94,748:-86
65,705:-83,208:-63,460:-88,189:-73,198:-86,24:-66,464:-59,350:-90,228:-81,548:-78
2,566:-90,655:-89,699:-70,306:-89,3:-90,395:-90,397:-92,466:-90,874:-91,686:-75
