219581 0:-999 173:-85 1074:-89 1107:-62 1551:-91 1848:-76 1901:-94 2527:-78 2969:-88 3637:-66 5368:-999
219583 0:-999 125:-84 260:-72 1580:-52 3104:-58 3112:-79 3142:-55 4359:-55 4697:-75 4706:-58 4990:-88 5368:-999
33621 0:-999 113:-74 957:-70 1543:-60 2068:-70 2685:-55 2724:-73 2920:-80 2943:-48 4579:-50 4738:-37 5368:-999
33637 0:-999 256:-68 653:-69 1153:-72 1962:-82 2074:-77 3367:-59 3962:-32 5368:-999
33665 0:-999 1072:-57 2274:-66 2811:-70 2983:-84 3111:-75 3115:-49 4309:-24 4389:-60 4876:-16 5244:-70 5368:-999
219683 0:-999 199:-68 742:-83 1128:-87 1275:-61 1978:-54 2031:-76 2479:-67 2481:-54 3423:-88 4206:-69 5368:-999
219708 0:-999 258:-57 435:-66 1220:-70 1615:-51 2049:-48 2527:-43 2949:-82 4407:-63 4601:-64 5204:-55 5368:-999
118867 0:-999 156:-67 802:-51 806:-79 973:-74 2040:-74 2314:-56 2316:-75 3374:-73 3605:-80 4266:-78 5368:-999
54184 0:-999 65:-76 639:-76 1526:-75 2040:-77 2874:-80 2983:-80 3030:-75 3056:-67 3649:-78 5142:-83 5368:-999
118896 0:-999 260:-81 501:-67 1322:-71 2116:-74 3140:-76 3142:-85 3772:-50 4184:-66 4672:-89 4745:-86 5368:-999
33810 0:-999 272:-72 615:-74 920:-48 1104:-84 1247:-57 1314:-48 2683:-49 3441:-73 4122:-80 4495:-74 5368:-999
118925 0:-999 696:-76 1924:-39 2562:-34 2565:-62 3313:-61 3923:-52 5368:-999
54293 0:-999 1128:-66 1361:-66 1978:-77 2031:-78 2479:-76 2812:-79 2918:-75 3386:-65 4218:-75 4438:-69 5368:-999
54345 0:-999 1620:-78 2186:-85 2506:-75 3852:-87 3854:-91 3950:-65 4398:-87 5198:-64 5368:-999
219940 0:-999 1128:-90 1275:-60 1978:-55 2031:-79 2479:-62 2481:-55 2812:-95 3895:-63 4206:-66 5368:-999
219949 0:-999 353:-84 386:-80 685:-37 1137:-81 1162:-48 1225:-89 1925:-77 1927:-76 2442:-76 2709:-71 5368:-999
219953 0:-999 159:-75 280:-73 435:-73 1588:-31 2600:-24 3423:-54 4212:-74 4605:-74 5183:-79 5206:-78 5368:-999
219954 0:-999 49:-66 1034:-66 1211:-75 1805:-80 2122:-76 3074:-64 3711:-57 3720:-72 3882:-80 4059:-69 5368:-999
119125 0:-999 480:-86 682:-64 1526:-69 1783:-78 2493:-53 2874:-85 2946:-80 3056:-85 4309:-87 4876:-65 5368:-999
220035 0:-999 419:-86 580:-84 1117:-89 1128:-77 3103:-77 3588:-92 3986:-75 4206:-86 4438:-81 4712:-75 5368:-999
220036 0:-999 1128:-69 1361:-68 2812:-76 3103:-82 3166:-81 3386:-63 3895:-80 3986:-69 4438:-80 5368:-999
54483 0:-999 1443:-72 2641:-88 2712:-48 2730:-80 4824:-87 5183:-45 5206:-45 5368:-999
54490 0:-999 538:-76 1692:-79 2089:-76 2175:-70 2219:-81 2472:-72 3531:-46 4332:-65 4710:-77 4737:-70 5368:-999
220070 0:-999 260:-72 1042:-57 1083:-65 1322:-70 2099:-71 2577:-70 3633:-69 3772:-37 4706:-85 5368:-999
