54035 0:-999 296:-74 737:-79 739:-80 851:-36 1913:-87 3805:-64 4664:-75 4833:-83 5056:-73 5330:-999
54047 0:-999 149:-66 161:-50 737:-71 851:-41 2740:-51 2850:-67 3639:-89 3805:-52 4833:-79 4926:-68 5330:-999
118782 0:-999 27:-72 519:-71 1049:-78 1798:-91 4160:-80 4664:-58 4833:-73 5092:-75 5115:-78 5304:-81 5330:-999
219652 0:-999 837:-48 959:-75 1964:-82 2823:-71 3250:-70 3276:-58 4226:-79 4584:-74 4620:-57 5330:-999
219653 0:-999 149:-62 406:-77 519:-68 737:-71 2156:-81 3370:-74 3639:-81 4664:-74 5115:-61 5330:-999
219654 0:-999 149:-49 629:-80 737:-68 1592:-80 3639:-79 3805:-58 4664:-75 5115:-89 5330:-999
118819 0:-999 131:-76 1718:-77 1811:-77 2086:-76 2247:-72 3460:-81 4222:-71 4614:-75 4955:-45 5181:-76 5330:-999
33706 0:-999 76:-56 97:-74 491:-62 1552:-65 2758:-68 2887:-80 3499:-76 3500:-78 4396:-82 4891:-63 5330:-999
33732 0:-999 27:-72 406:-73 519:-75 1592:-63 1754:-58 1798:-89 1896:-72 1913:-60 4664:-70 5330:-999
33757 0:-999 222:-86 305:-58 898:-50 1617:-78 1793:-76 2908:-63 3518:-73 3993:-78 4154:-68 4513:-85 5330:-999
219776 0:-999 231:-67 862:-86 2846:-88 3589:-58 3669:-82 3835:-64 4272:-63 4323:-50 4522:-81 5005:-81 5330:-999
54232 0:-999 324:-72 423:-75 1052:-59 1303:-57 2272:-75 2518:-68 3217:-80 3464:-57 4788:-56 5330:-999
219812 0:-999 737:-72 910:-72 2330:-82 2359:-71 4037:-76 4160:-75 4833:-63 5092:-80 5217:-80 5330:-999
54246 0:-999 231:-62 233:-77 1266:-55 1404:-79 1971:-77 3624:-75 3645:-74 3739:-75 4760:-65 5222:-72 5330:-999
54262 0:-999 782:-61 936:-63 980:-57 1367:-57 1506:-59 1555:-67 1819:-67 2125:-50 4339:-49 4913:-71 5330:-999
54290 0:-999 146:-78 540:-82 1591:-52 2213:-79 2908:-82 3490:-77 3518:-84 3960:-78 4656:-77 4991:-82 5330:-999
54291 0:-999 1241:-83 1637:-81 1846:-86 2866:-82 2909:-84 3072:-85 3868:-79 4211:-83 4607:-80 5232:-92 5330:-999
33891 0:-999 231:-24 660:-55 1266:-49 1390:-87 3645:-58 3669:-84 4272:-57 4274:-76 4760:-53 5005:-84 5330:-999
119029 0:-999 519:-80 629:-82 737:-77 851:-71 1902:-81 1913:-75 4664:-67 4833:-75 4926:-71 5192:-79 5330:-999
119030 0:-999 356:-89 822:-90 907:-73 1202:-86 1241:-90 2268:-73 2866:-76 3564:-82 3669:-81 3939:-73 5330:-999
219950 0:-999 207:-65 295:-39 793:-72 1603:-63 1718:-55 4087:-72 4614:-53 4964:-58 5136:-58 5330:-999
33979 0:-999 1367:-70 2247:-66 3460:-78 4184:-78 4222:-66 4414:-79 4606:-82 4695:-67 4735:-83 5330:-999
119089 0:-999 361:-55 426:-56 2436:-69 2900:-76 3516:-72 3601:-55 3910:-78 4484:-84 4814:-54 5222:-68 5330:-999
119112 0:-999 114:-59 349:-76 437:-70 745:-85 778:-85 1004:-64 1883:-83 2757:-80 3320:-81 3826:-83 5330:-999
54445 0:-999 27:-80 519:-72 629:-60 1902:-76 1913:-86 4160:-54 4664:-60 4956:-73 5115:-76 5119:-62 5330:-999
54446 0:-999 862:-88 907:-75 2268:-73 3091:-80 3669:-95 3739:-82 4617:-75 5005:-95 5222:-65 5330:-999
119154 0:-999 231:-64 233:-74 957:-81 1704:-81 2501:-67 3645:-66 3720:-81 3835:-81 4272:-67 4694:-76 5330:-999
54454 0:-999 149:-61 406:-69 519:-75 851:-71 1592:-81 3639:-82 3664:-86 3805:-66 5192:-80 5330:-999
54455 0:-999 1211:-83 1846:-82 2501:-65 2629:-83 2866:-68 3564:-87 3669:-88 3835:-75 3857:-82 4021:-80 5330:-999
34062 0:-999 27:-83 161:-58 737:-67 833:-75 851:-63 910:-76 2309:-78 2740:-57 4833:-74 5330:-999
220038 0:-999 519:-69 737:-62 1592:-73 1798:-87 1913:-72 2687:-87 3639:-80 3664:-87 4926:-70 5115:-72 5330:-999
220039 0:-999 368:-86 519:-72 629:-70 737:-62 1234:-88 3633:-87 4039:-80 4394:-79 4632:-73 5330:-999
119181 0:-999 231:-61 233:-62 1266:-70 2900:-83 3624:-64 3669:-80 4432:-82 4760:-68 5005:-79 5330:-999
119189 0:-999 355:-87 639:-82 943:-80 1074:-80 1552:-67 2758:-67 3046:-45 4891:-71 5135:-71 5330:-999
220087 0:-999 199:-78 415:-77 1151:-62 2341:-62 2529:-62 2599:-77 3067:-79 4118:-57 4309:-57 4656:-80 5330:-999
220088 0:-999 171:-65 302:-71 1666:-75 1967:-45 2141:-71 2612:-64 2688:-69 3067:-74 4367:-69 4949:-65 5330:-999
