54034 0:-999 259:-63 1384:-72 1769:-60 2515:-89 3340:-79 3799:-72 3965:-51 4838:-80 4952:-50 5786:-77 5870:-999
54099 0:-999 181:-62 240:-79 631:-60 1054:-79 1441:-70 4268:-61 4362:-68 4832:-78 4982:-71 5729:-63 5870:-999
54100 0:-999 1380:-66 2237:-63 2946:-76 3416:-56 3686:-48 3805:-79 4723:-76 4797:-61 5491:-80 5870:-999
54101 0:-999 110:-80 509:-65 732:-71 1163:-81 1937:-75 2803:-34 3131:-49 3240:-70 4240:-72 5108:-73 5870:-999
54120 0:-999 181:-72 1578:-70 1872:-44 3956:-46 4243:-52 4867:-62 5163:-53 5624:-51 5729:-65 5776:-63 5870:-999
219697 0:-999 2237:-72 3805:-66 3919:-57 4224:-74 4797:-58 5018:-81 5491:-67 5870:-999
33718 0:-999 449:-7 509:-48 1801:-63 2803:-47 4085:-43 4491:-64 4497:-47 4845:-61 5173:-68 5855:-58 5870:-999
33719 0:-999 262:-69 600:-60 723:-63 1178:-53 1858:-55 3709:-50 4243:-64 4922:-57 5163:-57 5776:-50 5870:-999
54179 0:-999 162:-72 292:-47 723:-59 2059:-71 2615:-54 3709:-66 3956:-39 4068:-83 4384:-39 5163:-47 5870:-999
54180 0:-999 262:-70 723:-76 2059:-50 2540:-51 2948:-67 3470:-63 4068:-57 4801:-67 4867:-87 5163:-59 5870:-999
54189 0:-999 1150:-73 1363:-72 1597:-69 1944:-41 2097:-69 2136:-63 2330:-68 2740:-42 4223:-41 4571:-69 5870:-999
54190 0:-999 1150:-69 1363:-69 1597:-65 1944:-43 2097:-63 2136:-51 2330:-63 2740:-38 4223:-43 4571:-61 5870:-999
54191 0:-999 387:-82 636:-72 685:-66 1571:-67 1863:-69 2108:-83 2861:-39 3173:-64 4333:-39 5449:-73 5870:-999
54192 0:-999 387:-82 636:-72 685:-66 1571:-67 1863:-69 2108:-83 2861:-39 3173:-64 4333:-39 5449:-73 5870:-999
54193 0:-999 1150:-69 1363:-69 1597:-65 1944:-43 2097:-63 2136:-51 2330:-63 2740:-38 4223:-43 4571:-61 5870:-999
33820 0:-999 1872:-56 3956:-44 4183:-82 4243:-49 4867:-71 5163:-52 5624:-48 5729:-68 5776:-71 5870:-999
33821 0:-999 730:-39 940:-82 1325:-83 1466:-59 1700:-79 1844:-89 2761:-88 4770:-71 4974:-54 5870:-999
33822 0:-999 298:-75 730:-40 940:-77 1163:-70 1466:-67 1700:-76 4512:-84 4770:-75 4864:-43 4974:-47 5870:-999
118956 0:-999 259:-70 422:-91 916:-70 1384:-81 3225:-77 3799:-81 3965:-68 4521:-92 4705:-38 4952:-55 5870:-999
54347 0:-999 118:-54 1527:-72 1743:-62 2300:-60 3219:-48 3433:-59 3803:-47 4772:-47 5447:-54 5571:-67 5870:-999
54352 0:-999 692:-37 1170:-89 2073:-36 2352:-69 4080:-83 4199:-82 4257:-71 5056:-49 5129:-82 5870:-999
