54093 0:-999 307:-86 1011:-89 1127:-76 1421:-81 1508:-76 1671:-86 2019:-76 2243:-59 2404:-74 2513:-999
54094 0:-999 1:-86 283:-84 466:-57 491:-84 689:-85 1381:-72 1608:-87 1900:-85 2319:-66 2376:-84 2513:-999
219775 0:-999 12:-83 323:-71 830:-45 884:-86 1132:-63 1150:-81 2074:-63 2281:-85 2475:-68 2513:-999
54299 0:-999 283:-84 821:-65 1301:-63 1330:-78 1418:-60 1423:-69 1457:-61 1595:-56 2226:-56 2416:-79 2513:-999
54300 0:-999 1:-81 491:-80 962:-49 1374:-71 1608:-85 1842:-58 1900:-81 1917:-48 1930:-86 2376:-82 2513:-999
219867 0:-999 1:-77 242:-76 373:-67 491:-79 753:-56 915:-80 962:-54 1547:-80 1917:-53 1956:-72 2513:-999
119083 0:-999 162:-62 476:-78 618:-74 641:-78 1024:-52 1273:-68 1714:-52 2088:-76 2373:-53 2496:-88 2513:-999
119116 0:-999 129:-49 186:-60 260:-62 268:-56 482:-68 792:-60 927:-60 991:-62 1286:-58 2317:-61 2513:-999
54459 0:-999 91:-81 726:-19 793:-82 866:-66 923:-69 1359:-71 1457:-75 1623:-68 1727:-75 2283:-70 2513:-999
54487 0:-999 43:-66 529:-83 568:-76 614:-73 807:-61 830:-47 1058:-66 1132:-70 1600:-65 2074:-70 2513:-999
119228 0:-999 129:-82 278:-82 434:-78 772:-79 927:-76 1153:-85 1393:-36 1547:-84 2236:-74 2513:-999
220211 0:-999 419:-74 466:-64 821:-49 1301:-26 1423:-53 1457:-54 1699:-62 1720:-43 1917:-58 2319:-56 2513:-999
54776 0:-999 576:-46 812:-80 862:-64 1327:-64 1860:-72 1887:-46 1951:-65 2043:-76 2188:-51 2394:-64 2513:-999
54785 0:-999 1:-77 733:-65 962:-47 1019:-71 1423:-78 1608:-82 1806:-66 1842:-52 1917:-46 1920:-86 2513:-999
119499 0:-999 316:-72 376:-61 565:-49 804:-80 1619:-62 1625:-74 1925:-61 1965:-61 2046:-81 2496:-67 2513:-999
54978 0:-999 316:-74 568:-68 804:-80 805:-55 807:-75 830:-74 1058:-78 1132:-86 2074:-86 2475:-76 2513:-999
119682 0:-999 319:-88 807:-70 1051:-85 1132:-77 1150:-72 1452:-71 1533:-90 1740:-86 1959:-47 2513:-999
119683 0:-999 1:-75 325:-46 753:-60 758:-45 962:-45 1329:-63 1842:-62 1917:-49 1930:-77 2270:-72 2513:-999
220710 0:-999 325:-44 373:-67 753:-55 758:-39 998:-73 1117:-71 1301:-72 1547:-71 1917:-44 2249:-54 2513:-999
55189 0:-999 299:-57 576:-67 812:-83 862:-41 1153:-80 1808:-56 1860:-61 1887:-66 1951:-61 2394:-61 2513:-999
119955 0:-999 142:-65 187:-73 368:-82 488:-67 802:-78 900:-65 919:-78 946:-81 1152:-62 1504:-62 2513:-999
120033 0:-999 278:-81 644:-86 772:-86 858:-53 1267:-56 1347:-71 1580:-69 1778:-61 1911:-65 2413:-64 2513:-999
34962 0:-999 1:-77 242:-69 373:-60 753:-45 758:-44 1019:-72 1423:-79 1608:-81 2249:-55 2270:-62 2513:-999
34963 0:-999 1:-80 242:-67 373:-61 753:-47 758:-43 1019:-72 1423:-79 1608:-77 2249:-56 2270:-69 2513:-999
34964 0:-999 14:-71 374:-51 1270:-72 1312:-64 1547:-62 1741:-56 1851:-55 1917:-67 2270:-67 2513:-999
35054 0:-999 186:-86 858:-37 1111:-46 1267:-57 1580:-69 1589:-72 1911:-61 2076:-68 2094:-68 2413:-72 2513:-999
120250 0:-999 3:-58 841:-74 1287:-82 1313:-75 1454:-82 1487:-56 1640:-53 1981:-86 2031:-69 2272:-73 2513:-999
221276 0:-999 14:-84 149:-88 202:-85 497:-67 591:-53 753:-76 866:-83 1125:-77 2349:-28 2439:-84 2513:-999
55715 0:-999 1:-88 93:-42 241:-41 242:-34 994:-64 1374:-60 1842:-63 1900:-89 1948:-86 2125:-67 2513:-999
35371 0:-999 10:-49 419:-61 622:-53 913:-63 1130:-59 1301:-66 1423:-62 1457:-52 1720:-63 2446:-63 2513:-999
35372 0:-999 466:-44 1060:-62 1301:-66 1330:-80 1418:-56 1423:-78 1445:-59 1595:-74 2261:-79 2446:-59 2513:-999
35411 0:-999 129:-77 186:-85 422:-70 772:-81 896:-84 961:-76 1286:-80 1580:-86 2242:-71 2443:-86 2513:-999
120572 0:-999 210:-68 365:-59 680:-48 818:-71 900:-83 1481:-49 1535:-80 2140:-79 2513:-999
35497 0:-999 179:-63 325:-67 466:-59 647:-61 1154:-64 1445:-64 1941:-62 2226:-54 2285:-56 2513:-999
