54066 0:-999 760:-69 1004:-69 1239:-79 1646:-82 2590:-77 2784:-60 3666:-54 4246:-77 4835:-63 5409:-999
54069 0:-999 53:-72 711:-83 1429:-71 2319:-67 2370:-69 3835:-65 3940:-67 4356:-60 4518:-76 5409:-999
219629 0:-999 112:-58 591:-73 992:-71 2239:-72 2496:-64 2565:-61 3876:-45 4207:-70 4837:-61 5041:-60 5409:-999
219630 0:-999 591:-61 992:-55 2186:-77 2239:-52 2496:-58 2565:-49 3876:-49 4207:-49 4837:-82 5041:-48 5409:-999
219642 0:-999 711:-86 1254:-82 1680:-81 2182:-70 2319:-71 2370:-72 3053:-71 3453:-82 4356:-67 4723:-82 5409:-999
219643 0:-999 83:-76 711:-85 2319:-69 2370:-71 2831:-65 3053:-77 3207:-71 3835:-70 4356:-67 5409:-999
219644 0:-999 847:-81 1429:-80 2182:-72 2319:-67 2370:-62 2829:-85 3821:-68 4356:-64 4723:-88 4830:-68 5409:-999
219645 0:-999 847:-83 1478:-87 1680:-88 2182:-72 2319:-71 2370:-63 2829:-84 3053:-84 4356:-64 4723:-86 5409:-999
219646 0:-999 112:-80 900:-40 992:-67 2186:-25 2723:-73 3536:-84 3590:-62 4236:-47 4837:-78 5041:-67 5409:-999
118798 0:-999 451:-46 458:-65 2013:-61 2613:-72 2886:-84 3084:-67 4296:-60 4325:-79 4880:-55 5112:-47 5409:-999
54105 0:-999 206:-63 1161:-68 1981:-61 2454:-59 2778:-83 3055:-76 3517:-69 3950:-74 4871:-79 5079:-63 5409:-999
118823 0:-999 96:-83 107:-79 1461:-63 2002:-81 2909:-72 4065:-77 4183:-82 4361:-66 4629:-79 5252:-81 5409:-999
219690 0:-999 67:-64 206:-68 1161:-68 1617:-64 3055:-67 3517:-69 3631:-67 3950:-66 4335:-67 5079:-68 5409:-999
54156 0:-999 438:-31 1255:-39 1428:-70 3016:-71 3675:-69 4122:-46 4641:-63 4739:-37 4928:-56 5020:-39 5409:-999
54157 0:-999 438:-43 646:-64 1255:-44 2416:-66 4122:-51 4641:-58 4739:-43 4837:-67 4928:-48 5020:-42 5409:-999
33741 0:-999 183:-84 760:-76 1004:-79 1039:-79 1822:-63 2784:-73 3666:-65 4288:-69 4554:-75 5001:-69 5409:-999
54162 0:-999 760:-80 1004:-79 2402:-76 2750:-74 2784:-72 4143:-84 4605:-86 4767:-78 4935:-82 5001:-72 5409:-999
33802 0:-999 295:-67 693:-80 1500:-71 2180:-87 3015:-78 3645:-67 3726:-72 3995:-68 4081:-71 4829:-67 5409:-999
33803 0:-999 693:-83 1075:-65 1152:-76 1332:-64 1500:-64 2104:-73 2563:-68 2830:-70 3645:-64 5069:-63 5409:-999
