118828 0:-999 379:-54 695:-74 1454:-80 2007:-49 2110:-69 2239:-74 2829:-62 3250:-51 4042:-72 4414:-999
54181 0:-999 129:-67 159:-86 282:-89 289:-44 348:-84 1255:-74 1381:-84 2667:-66 3346:-87 4079:-87 4414:-999
54199 0:-999 379:-53 1552:-34 1573:-58 2007:-50 2110:-61 2239:-62 2829:-68 3250:-55 3806:-88 4042:-68 4414:-999
219767 0:-999 379:-63 1088:-65 1454:-76 1552:-37 1573:-54 1993:-64 2239:-67 2829:-67 2859:-75 3250:-56 4414:-999
219845 0:-999 224:-74 1250:-76 1288:-61 1550:-71 1568:-72 2010:-85 2621:-64 2883:-40 3427:-70 3578:-69 4414:-999
118983 0:-999 272:-77 281:-48 1409:-83 1536:-62 1920:-68 2005:-74 2382:-69 4272:-77 4410:-42 4414:-999
118984 0:-999 281:-49 1536:-61 1626:-66 1920:-67 2382:-65 3100:-86 4410:-46 4414:-999
54311 0:-999 38:-74 971:-76 1047:-66 2007:-86 2212:-56 2239:-68 2717:-60 2859:-91 2914:-78 4001:-71 4414:-999
54351 0:-999 371:-80 547:-57 572:-45 918:-71 1564:-34 2397:-82 3286:-74 3545:-44 3876:-34 4172:-78 4414:-999
34000 0:-999 568:-87 614:-87 918:-69 1479:-64 1512:-85 1564:-51 2047:-84 3833:-73 3876:-51 4414:-999
54412 0:-999 691:-68 754:-67 1704:-66 1859:-72 2679:-45 2746:-77 2956:-58 3048:-81 3452:-64 3994:-46 4414:-999
220027 0:-999 284:-67 1626:-57 1920:-76 2005:-61 2288:-50 2549:-50 2969:-73 3252:-50 3785:-76 4410:-54 4414:-999
34065 0:-999 467:-88 979:-86 1188:-77 1332:-53 2628:-78 2740:-81 3444:-72 3556:-74 3589:-69 4249:-76 4414:-999
34066 0:-999 323:-89 454:-83 467:-86 979:-90 1332:-50 2740:-83 3444:-79 3589:-64 3824:-84 4249:-71 4414:-999
54463 0:-999 1633:-92 2314:-84 2679:-57 2698:-91 2855:-81 2956:-44 3049:-92 3452:-72 3994:-62 4396:-92 4414:-999
54567 0:-999 38:-65 695:-80 971:-65 1047:-46 2212:-35 2239:-55 2717:-51 2859:-69 3789:-71 4001:-63 4414:-999
54573 0:-999 288:-60 454:-78 460:-72 692:-88 748:-70 1051:-42 1381:-76 2617:-47 2626:-59 2842:-76 4414:-999
54574 0:-999 67:-64 467:-80 979:-85 1693:-69 1713:-89 2013:-61 2196:-51 2740:-87 4249:-79 4346:-61 4414:-999
54575 0:-999 67:-63 467:-80 979:-85 1693:-69 1713:-79 2013:-62 2196:-46 2740:-83 4249:-80 4346:-67 4414:-999
34188 0:-999 97:-82 282:-79 288:-41 692:-77 1255:-79 1381:-52 1607:-31 1634:-31 4079:-73 4414:-999
220192 0:-999 1233:-56 1454:-77 1490:-43 2397:-46 2539:-62 2717:-83 2859:-76 3348:-59 3485:-70 4124:-48 4414:-999
220193 0:-999 1233:-52 1454:-79 1490:-45 2397:-58 2539:-56 2859:-81 3348:-64 3451:-73 3485:-78 4124:-51 4414:-999
220202 0:-999 289:-72 1255:-78 1394:-71 1667:-64 1783:-44 2330:-44 3346:-75 4390:-62 4403:-64 4414:-999
220203 0:-999 668:-78 981:-63 1626:-83 2121:-59 2766:-46 2969:-67 3064:-48 3588:-73 3785:-51 4270:-75 4414:-999
220204 0:-999 418:-84 1233:-66 1490:-49 2397:-60 2539:-75 2965:-81 3216:-88 3348:-76 4124:-67 4414:-999
119335 0:-999 379:-54 695:-70 1088:-68 1552:-32 1573:-45 1993:-60 2007:-47 2239:-68 2829:-60 3250:-55 4414:-999
119336 0:-999 379:-53 1088:-66 1552:-39 1573:-59 2007:-41 2212:-54 2239:-69 3250:-53 3789:-80 4414:-999
119370 0:-999 1188:-82 2631:-58 2842:-33 4175:-47 4414:-999
34295 0:-999 38:-57 2007:-77 2212:-52 2239:-39 2717:-60 2859:-52 2914:-71 3348:-87 3451:-65 4001:-57 4414:-999
119412 0:-999 224:-64 397:-49 462:-74 1008:-62 1250:-62 1620:-79 2010:-79 2684:-68 2818:-74 3834:-80 4414:-999
119413 0:-999 379:-56 1088:-80 1552:-41 1573:-67 1581:-90 2007:-50 2829:-84 3062:-90 3250:-53 4042:-73 4414:-999
34343 0:-999 288:-71 1381:-81 1607:-62 1634:-64 2043:-77 2617:-67 2631:-62 2842:-53 2951:-74 4175:-37 4414:-999
54766 0:-999 31:-72 101:-74 218:-76 669:-72 1236:-73 2433:-80 2530:-62 2559:-76 2766:-58 3499:-76 4414:-999
220386 0:-999 379:-60 695:-77 1552:-32 1573:-75 1993:-46 2007:-28 2110:-50 2829:-79 3250:-60 3789:-77 4414:-999
220398 0:-999 219:-73 728:-74 1139:-49 1694:-48 1849:-52 2641:-61 2809:-44 3581:-52 3801:-64 3928:-74 4414:-999
220399 0:-999 254:-65 598:-54 693:-61 1012:-48 1132:-51 1193:-59 2855:-93 3048:-65 3890:-51 4155:-71 4414:-999
220437 0:-999 261:-70 1177:-60 1633:-87 2134:-59 2421:-74 2480:-71 2698:-87 3049:-87 4092:-34 4414:-999
54895 0:-999 391:-48 737:-61 942:-70 1121:-48 1422:-59 1456:-67 2492:-77 2664:-54 2942:-53 3302:-69 4414:-999
54981 0:-999 158:-57 264:-44 571:-41 675:-52 775:-47 1716:-41 2002:-47 2678:-52 2798:-41 3733:-68 4414:-999
220559 0:-999 379:-53 1047:-57 1369:-56 1552:-54 1573:-65 1993:-60 2007:-65 2110:-58 2212:-66 2239:-55 4414:-999
220560 0:-999 31:-78 265:-89 733:-75 1139:-90 1542:-88 1746:-69 2530:-59 2766:-63 3785:-71 4063:-79 4414:-999
34600 0:-999 284:-49 698:-43 980:-84 1626:-85 2005:-66 2121:-77 2288:-66 2766:-60 3064:-44 4414:-999
34624 0:-999 971:-71 1047:-57 1369:-42 1552:-76 2007:-80 2212:-61 2239:-37 2717:-63 2914:-66 3451:-59 4414:-999
