118788 0:-999 266:-80 782:-65 790:-74 934:-70 999:-87 1103:-61 1558:-57 1570:-44 1764:-72 1838:-999
54194 0:-999 254:-31 287:-56 433:-68 698:-31 893:-63 955:-55 1068:-66 1099:-50 1516:-33 1641:-47 1838:-999
33819 0:-999 144:-65 209:-80 268:-64 360:-42 381:-89 455:-63 537:-68 799:-74 1010:-44 1763:-73 1838:-999
119011 0:-999 61:-53 155:-55 216:-86 435:-58 818:-79 826:-53 1039:-72 1416:-61 1475:-76 1503:-73 1838:-999
119072 0:-999 249:-56 313:-53 323:-67 479:-61 908:-44 1078:-56 1132:-58 1405:-54 1580:-71 1696:-54 1838:-999
119073 0:-999 34:-60 185:-29 840:-56 974:-75 1026:-72 1065:-57 1341:-60 1357:-91 1736:-60 1760:-77 1838:-999
34168 0:-999 375:-67 416:-84 620:-60 1282:-53 1334:-87 1649:-62 1838:-999
34336 0:-999 96:-82 266:-79 782:-38 790:-87 1103:-73 1558:-60 1570:-58 1747:-72 1764:-84 1838:-999
119567 0:-999 392:-58 407:-71 466:-79 917:-65 1050:-54 1075:-56 1172:-68 1332:-55 1384:-80 1581:-57 1838:-999
55018 0:-999 249:-55 313:-52 847:-83 1056:-74 1078:-67 1132:-57 1405:-58 1580:-48 1696:-41 1838:-999
119768 0:-999 266:-59 529:-61 782:-54 790:-66 817:-72 1103:-35 1278:-62 1558:-60 1561:-67 1570:-60 1838:-999
220671 0:-999 209:-44 268:-58 389:-82 455:-84 1136:-89 1227:-74 1284:-51 1501:-54 1789:-89 1838:-999
34732 0:-999 173:-50 430:-64 458:-59 920:-66 1420:-68 1424:-59 1550:-39 1652:-45 1827:-86 1838:-999
220713 0:-999  1838:-999
220714 0:-999  1838:-999
119907 0:-999 96:-60 266:-65 782:-55 790:-79 817:-78 1103:-57 1558:-56 1570:-46 1764:-74 1838:-999
220780 0:-999 61:-79 266:-82 529:-68 782:-80 790:-81 817:-35 1103:-67 1278:-70 1558:-79 1561:-87 1838:-999
34889 0:-999 22:-62 86:-55 203:-48 292:-48 616:-57 760:-74 1172:-68 1189:-62 1446:-59 1572:-49 1838:-999
220925 0:-999 31:-73 272:-51 521:-77 737:-47 959:-82 986:-82 1179:-47 1436:-86 1454:-71 1693:-45 1838:-999
55381 0:-999 58:-62 84:-55 164:-69 233:-74 306:-60 539:-61 839:-54 1026:-70 1357:-62 1602:-52 1838:-999
120114 0:-999 96:-92 266:-81 782:-50 1103:-80 1558:-60 1561:-80 1570:-71 1747:-73 1764:-80 1838:-999
120136 0:-999 77:-85 169:-68 265:-78 601:-77 755:-86 783:-78 839:-83 958:-38 1490:-52 1596:-62 1838:-999
221032 0:-999 203:-34 384:-76 392:-70 407:-65 881:-76 1050:-67 1384:-58 1473:-75 1581:-70 1632:-66 1838:-999
55490 0:-999 84:-57 233:-69 412:-70 755:-82 1026:-40 1357:-70 1484:-78 1602:-48 1648:-60 1700:-59 1838:-999
221065 0:-999 61:-75 266:-71 529:-55 790:-84 817:-27 826:-70 1103:-61 1278:-54 1416:-89 1570:-75 1838:-999
221070 0:-999 64:-71 384:-80 395:-59 738:-71 868:-93 881:-53 1281:-63 1813:-82 1838:-999
55505 0:-999 254:-41 453:-78 698:-42 893:-66 955:-64 1099:-41 1223:-72 1437:-79 1516:-42 1533:-46 1838:-999
221156 0:-999 61:-32 112:-70 216:-71 435:-68 826:-32 1039:-78 1416:-48 1475:-51 1503:-76 1561:-76 1838:-999
120304 0:-999 484:-58 717:-58 755:-89 1490:-39 1565:-73 1596:-60 1838:-999
55688 0:-999 64:-78 79:-76 375:-66 386:-82 531:-68 620:-58 881:-80 1126:-82 1323:-76 1334:-93 1838:-999
56043 0:-999 31:-70 272:-40 521:-58 548:-61 737:-60 959:-71 986:-71 1179:-61 1454:-60 1693:-46 1838:-999
35657 0:-999 61:-44 155:-60 216:-64 435:-67 978:-87 1039:-72 1475:-60 1503:-76 1838:-999
35658 0:-999 61:-61 112:-89 155:-61 216:-85 1039:-69 1135:-92 1503:-71 1838:-999
221640 0:-999 96:-69 266:-69 782:-39 790:-79 1103:-57 1558:-45 1570:-50 1747:-61 1764:-73 1838:-999
35739 0:-999 80:-59 265:-48 286:-88 401:-88 452:-75 742:-89 891:-73 1442:-83 1502:-64 1563:-66 1838:-999
120860 0:-999 96:-90 266:-74 782:-50 817:-86 934:-86 1103:-70 1558:-66 1570:-69 1747:-70 1764:-82 1838:-999
35849 0:-999 479:-61 792:-66 823:-77 905:-61 977:-68 1104:-60 1115:-43 1133:-81 1651:-57 1711:-68 1838:-999
121011 0:-999 61:-70 529:-62 790:-75 817:-40 826:-75 1103:-62 1278:-65 1475:-84 1558:-73 1561:-72 1838:-999
56359 0:-999 268:-69 296:-61 360:-45 752:-59 828:-69 988:-65 1010:-48 1034:-40 1461:-51 1838:-999
56360 0:-999 268:-73 360:-39 455:-73 799:-80 828:-76 988:-72 1010:-63 1461:-60 1802:-70 1838:-999
35984 0:-999 61:-53 155:-62 216:-78 435:-56 543:-86 1039:-62 1135:-88 1475:-70 1503:-66 1838:-999
121114 0:-999 84:-67 93:-65 169:-71 401:-65 524:-64 755:-82 839:-51 1442:-77 1602:-59 1707:-50 1838:-999
121115 0:-999 61:-35 112:-69 155:-62 216:-61 435:-61 700:-54 1039:-73 1475:-51 1503:-71 1561:-68 1838:-999
121181 0:-999 233:-82 254:-72 473:-55 643:-72 1069:-74 1312:-66 1357:-66 1407:-58 1484:-80 1516:-72 1838:-999
222083 0:-999 61:-84 266:-68 529:-79 782:-41 790:-78 934:-74 1103:-69 1558:-63 1570:-56 1785:-62 1838:-999
222142 0:-999 190:-70 249:-64 268:-72 313:-42 323:-63 1132:-65 1405:-42 1580:-49 1696:-38 1838:-999
36185 0:-999 190:-75 249:-71 667:-81 823:-88 1104:-85 1132:-71 1133:-84 1405:-44 1651:-77 1696:-50 1838:-999
121327 0:-999 169:-61 233:-85 484:-60 755:-67 839:-83 1068:-83 1442:-50 1565:-63 1575:-86 1605:-84 1838:-999
36245 0:-999 80:-73 313:-83 479:-56 792:-72 905:-61 1056:-69 1083:-73 1104:-62 1115:-40 1522:-68 1838:-999
121377 0:-999 254:-38 433:-63 698:-57 1099:-57 1172:-66 1439:-76 1484:-79 1516:-34 1533:-44 1641:-49 1838:-999
121378 0:-999 61:-85 216:-81 529:-67 817:-39 934:-87 1103:-75 1278:-68 1558:-73 1561:-71 1570:-69 1838:-999
121442 0:-999 249:-72 268:-76 313:-54 1056:-84 1078:-69 1132:-72 1405:-55 1580:-67 1696:-53 1838:-999
56906 0:-999 266:-68 529:-65 790:-79 817:-28 934:-80 1103:-55 1278:-62 1416:-91 1558:-73 1570:-70 1838:-999
121629 0:-999 61:-36 112:-64 155:-66 216:-63 435:-55 826:-36 1039:-66 1416:-40 1475:-52 1503:-65 1838:-999
36555 0:-999 117:-49 254:-75 698:-75 893:-76 911:-71 974:-46 1099:-74 1437:-47 1516:-77 1760:-46 1838:-999
222585 0:-999 96:-76 266:-69 782:-48 817:-88 934:-81 1103:-75 1278:-84 1558:-52 1570:-55 1747:-77 1838:-999
222670 0:-999 58:-73 86:-61 306:-76 453:-66 539:-73 1172:-56 1226:-54 1446:-60 1648:-60 1650:-67 1838:-999
36833 0:-999 20:-71 144:-78 249:-71 313:-72 527:-72 537:-79 976:-75 1292:-70 1405:-72 1481:-37 1838:-999
36843 0:-999 61:-55 112:-32 216:-61 529:-77 817:-59 826:-53 1278:-78 1416:-57 1475:-60 1561:-69 1838:-999
36844 0:-999 61:-52 216:-58 266:-79 529:-50 790:-78 817:-63 1103:-61 1278:-49 1416:-65 1561:-65 1838:-999
222823 0:-999 266:-63 529:-69 782:-64 790:-74 934:-72 1103:-31 1278:-71 1558:-56 1561:-62 1570:-58 1838:-999
36870 0:-999 61:-60 112:-41 155:-79 216:-62 435:-74 1416:-54 1475:-61 1561:-72 1717:-68 1838:-999
222973 0:-999 96:-77 266:-65 529:-69 790:-73 817:-70 934:-71 1103:-29 1558:-67 1570:-60 1838:-999
37016 0:-999 173:-50 350:-76 430:-63 458:-66 920:-69 1249:-44 1424:-67 1550:-36 1652:-43 1838:-999
223003 0:-999 58:-64 164:-74 306:-67 473:-50 539:-67 568:-58 698:-82 1602:-77 1648:-73 1700:-52 1838:-999
