219612 0:-999 353:-80 1273:-79 1515:-56 2313:-72 2417:-62 3309:-52 3907:-73 4815:-65 5048:-47 5377:-999
219694 0:-999 5:-89 413:-71 1647:-82 2515:-59 2891:-81 3197:-85 4058:-52 4244:-87 4310:-83 5066:-52 5377:-999
219704 0:-999 344:-84 839:-82 882:-83 1311:-83 1808:-82 3235:-82 3396:-88 4155:-85 4657:-83 5003:-41 5377:-999
118849 0:-999 63:-56 211:-71 320:-74 474:-51 2234:-54 2246:-56 2732:-54 2747:-75 2948:-52 3383:-76 5377:-999
118861 0:-999 1348:-72 1353:-75 1603:-81 1827:-60 2181:-80 2851:-82 3836:-76 3980:-61 4032:-59 5377:-999
118876 0:-999 389:-82 617:-63 1201:-76 1234:-64 1330:-57 2043:-74 2170:-76 2307:-63 2507:-71 4284:-77 5377:-999
219777 0:-999 1168:-75 1348:-86 1484:-40 2241:-53 2456:-86 2607:-75 2978:-82 3186:-53 3804:-54 4609:-63 5377:-999
119035 0:-999 656:-47 1528:-74 2084:-72 2107:-71 2515:-79 2701:-74 2891:-73 4310:-78 4337:-78 4781:-77 5377:-999
219964 0:-999 272:-67 353:-83 960:-90 1273:-83 1814:-69 2389:-68 3363:-85 3885:-90 3980:-68 5042:-71 5377:-999
219965 0:-999 532:-66 702:-72 869:-70 1257:-54 1330:-51 2043:-67 2063:-67 2170:-68 4284:-72 5094:-73 5377:-999
219966 0:-999 272:-67 353:-83 960:-90 1273:-83 1814:-69 2389:-68 3363:-85 3885:-90 3980:-68 5042:-71 5377:-999
219967 0:-999 532:-66 702:-72 869:-70 1257:-54 1330:-51 2043:-67 2063:-67 2170:-68 4284:-72 5094:-73 5377:-999
219968 0:-999 389:-69 532:-78 869:-74 994:-76 1257:-52 1330:-53 2043:-77 2063:-76 2170:-67 4284:-64 5377:-999
119117 0:-999 353:-82 724:-58 960:-79 1273:-82 3031:-57 3184:-66 3377:-55 3980:-61 4032:-54 4948:-85 5377:-999
119118 0:-999 350:-61 763:-64 845:-75 1089:-74 2081:-48 2728:-47 3100:-59 3159:-48 5198:-64 5377:-999
34049 0:-999 726:-80 1163:-65 1801:-80 3889:-75 4119:-79 4469:-83 5096:-78 5377:-999
34148 0:-999 307:-46 1163:-28 1881:-62 3178:-88 3889:-45 3950:-51 4478:-51 4866:-29 5161:-67 5333:-45 5377:-999
220137 0:-999 417:-61 484:-68 971:-61 1556:-61 1905:-38 2648:-68 3209:-59 3915:-53 4029:-61 4565:-38 5377:-999
34201 0:-999 478:-26 1036:-45 1053:-26 1501:-68 1703:-55 2002:-47 2103:-42 2656:-41 4572:-48 5377:-999
220179 0:-999 318:-75 320:-59 565:-77 634:-78 946:-69 966:-47 1631:-52 2365:-72 3628:-59 4852:-65 5377:-999
220222 0:-999 1393:-73 1463:-74 1906:-47 2135:-58 2241:-74 2718:-53 3184:-86 3186:-74 3617:-78 3655:-84 5377:-999
220271 0:-999 307:-35 727:-63 1163:-26 1672:-66 3731:-39 3889:-35 3950:-57 4478:-55 4866:-25 5333:-40 5377:-999
119453 0:-999 1152:-44 1524:-59 1940:-82 2651:-66 2747:-60 3095:-66 4358:-66 4480:-52 4548:-59 5377:-999
54774 0:-999 524:-81 1225:-42 1320:-79 1814:-89 2241:-73 3186:-74 3836:-74 4609:-77 5214:-43 5377:-999
34383 0:-999 160:-80 999:-77 1103:-50 1482:-62 1642:-50 2162:-60 3449:-86 4150:-53 4389:-50 4911:-77 5377:-999
34387 0:-999 63:-54 474:-63 507:-53 813:-47 1174:-50 2234:-68 2732:-54 3130:-45 3383:-70 4548:-82 5377:-999
220354 0:-999 320:-52 565:-59 946:-60 966:-68 1628:-81 2246:-68 2365:-54 3383:-67 5377:-999
34393 0:-999 497:-77 669:-72 1165:-85 2312:-71 2515:-72 3798:-81 4082:-78 4228:-85 4696:-72 4948:-84 5377:-999
220403 0:-999 211:-44 212:-73 966:-61 1964:-44 2234:-67 2365:-65 2682:-73 3383:-68 3628:-47 5223:-73 5377:-999
54863 0:-999 63:-60 474:-60 1524:-79 2234:-65 2246:-70 2732:-60 2747:-78 3383:-76 4548:-80 5377:-999
54867 0:-999 379:-64 547:-58 1169:-66 1482:-42 1541:-58 1642:-70 2942:-70 3449:-90 4150:-68 5222:-67 5377:-999
54872 0:-999 870:-80 1902:-63 2267:-64 2655:-68 3122:-72 3548:-80 3685:-64 3776:-73 3779:-55 3798:-82 5377:-999
54890 0:-999 23:-67 656:-35 1214:-76 2006:-80 4058:-49 4310:-76 4337:-75 4880:-44 4924:-67 5377:-999
119623 0:-999 565:-84 966:-74 1897:-73 1964:-58 2234:-57 2246:-70 2365:-81 3383:-69 3628:-76 5377:-999
54935 0:-999 25:-75 607:-74 695:-78 1519:-85 1630:-73 1647:-71 1897:-73 3242:-74 4058:-51 4099:-75 5377:-999
54936 0:-999 770:-78 1226:-79 1735:-74 1999:-73 2284:-74 3013:-84 3103:-65 3570:-73 3872:-76 5234:-79 5377:-999
34544 0:-999 320:-61 946:-60 966:-57 1897:-54 2234:-46 2246:-70 2386:-52 3096:-58 3373:-50 3628:-57 5377:-999
54937 0:-999 748:-68 883:-61 2737:-62 3170:-40 4007:-46 4577:-63 4706:-39 5173:-37 5175:-63 5377:-999
34545 0:-999 320:-65 1897:-59 1925:-71 2234:-48 2246:-64 2386:-59 3096:-60 3196:-75 3471:-74 5377:-999
220510 0:-999 763:-76 949:-79 1857:-67 2081:-76 3159:-77 4188:-69 4210:-62 4269:-85 4819:-72 5198:-64 5377:-999
119679 0:-999 96:-77 164:-64 196:-52 236:-37 661:-43 1258:-66 2493:-37 4429:-34 4871:-49 5033:-67 5377:-999
54990 0:-999 1485:-36 2268:-79 2444:-41 2878:-82 2955:-86 3387:-41 3673:-79 3744:-41 3847:-41 3879:-80 5377:-999
119721 0:-999 320:-66 607:-57 1630:-66 2308:-56 2384:-55 2891:-63 3041:-65 3202:-45 4837:-59 4977:-42 5377:-999
119722 0:-999 656:-57 695:-68 1475:-56 1529:-63 3041:-69 3435:-63 4448:-41 4703:-65 4781:-69 4837:-61 5377:-999
119723 0:-999 141:-64 922:-38 946:-58 966:-58 1631:-55 2234:-68 3196:-79 3373:-52 3767:-52 4852:-59 5377:-999
55025 0:-999 1234:-87 1257:-68 1538:-70 1560:-79 1816:-79 1886:-67 1962:-66 2507:-83 4426:-67 5327:-66 5377:-999
55053 0:-999 272:-46 415:-52 972:-52 1814:-50 2389:-62 2595:-53 3158:-60 3363:-63 3980:-56 4994:-56 5377:-999
55054 0:-999 1007:-69 1353:-50 1695:-46 1827:-69 3429:-76 3482:-74 3836:-47 3884:-76 4486:-66 4836:-77 5377:-999
220651 0:-999 44:-60 1353:-49 1562:-58 1603:-82 1695:-57 2560:-50 3591:-60 3836:-44 4486:-75 5144:-61 5377:-999
220652 0:-999 287:-67 1348:-65 1353:-36 1562:-60 1695:-59 1827:-70 2560:-56 3836:-49 3884:-80 5144:-66 5377:-999
220653 0:-999 44:-58 1320:-81 1353:-39 1603:-78 1695:-56 3591:-57 3836:-51 3983:-72 5144:-65 5377:-999
34696 0:-999 44:-67 272:-47 885:-82 1603:-80 2389:-46 3184:-67 3591:-66 3836:-65 4486:-61 4836:-78 5377:-999
34699 0:-999 71:-74 196:-56 236:-43 661:-48 959:-66 2493:-32 2804:-53 3149:-73 4871:-55 5377:-999
220682 0:-999 63:-65 320:-84 474:-61 813:-57 1700:-88 2234:-75 2246:-77 3113:-54 3383:-86 4548:-86 5377:-999
34721 0:-999 1070:-66 1129:-61 1453:-54 2373:-49 2440:-79 3023:-77 3357:-66 3872:-56 4774:-66 5085:-85 5377:-999
34727 0:-999 71:-70 1132:-64 1515:-67 2417:-62 3082:-69 4229:-73 4798:-62 4815:-69 5048:-50 5377:-999
220703 0:-999 320:-63 427:-59 966:-64 1631:-61 1897:-59 1964:-54 2234:-53 2365:-57 3113:-44 3383:-59 5377:-999
119849 0:-999 63:-56 422:-45 474:-55 813:-44 1174:-44 1654:-77 2246:-77 2732:-57 4548:-74 5377:-999
220722 0:-999 460:-49 1382:-74 1810:-59 2911:-68 3823:-73 4141:-43 4267:-58 4619:-86 4785:-68 4897:-84 5377:-999
55170 0:-999 20:-66 311:-64 901:-58 1004:-58 1095:-54 1407:-41 1641:-57 2468:-42 2644:-75 5096:-83 5377:-999
220744 0:-999 141:-60 318:-85 565:-78 946:-57 966:-50 1925:-78 2234:-73 3471:-83 4852:-54 5377:-999
220770 0:-999 307:-34 1012:-81 1163:-29 1319:-73 3889:-34 3950:-56 4478:-56 4866:-28 5195:-80 5333:-46 5377:-999
55218 0:-999 154:-86 307:-46 1163:-34 1881:-68 3178:-88 3889:-46 3950:-56 4478:-57 4936:-87 5333:-44 5377:-999
55225 0:-999 1453:-62 1660:-70 2559:-82 2696:-62 2956:-63 3013:-69 3571:-36 4194:-67 5377:-999
119933 0:-999 272:-50 1515:-62 2005:-47 2389:-54 2450:-70 2760:-47 3158:-54 3980:-50 4484:-47 4994:-61 5377:-999
119934 0:-999 566:-57 824:-60 883:-53 1827:-78 2833:-35 2851:-49 3829:-85 3983:-49 4706:-72 5173:-63 5377:-999
55245 0:-999 239:-46 1766:-50 1972:-72 2109:-66 3953:-51 4096:-38 4248:-37 4662:-70 4745:-38 5377:-999
34849 0:-999 257:-58 607:-68 793:-67 1788:-59 3676:-68 4400:-57 4521:-56 4529:-64 5377:-999
34850 0:-999 1227:-54 1815:-45 1845:-70 4171:-81 4424:-79 5377:-999
34852 0:-999 809:-45 934:-70 1110:-78 2118:-49 2194:-78 2306:-43 2824:-67 3022:-43 3219:-73 4152:-73 5377:-999
