33623 0:-999 472:-59 1608:-60 1959:-80 2360:-52 2498:-72 3489:-87 3564:-80 4358:-51 4637:-57 4722:-999
118840 0:-999 852:-69 870:-56 1915:-74 2431:-54 2932:-61 3144:-72 3365:-71 3485:-65 3915:-74 4234:-80 4722:-999
219797 0:-999 942:-82 1252:-45 1958:-87 1992:-31 2828:-34 2890:-40 3971:-89 4098:-76 4144:-40 4384:-76 4722:-999
219847 0:-999 312:-56 486:-64 1819:-54 2424:-71 2605:-60 2887:-55 3228:-51 3885:-72 4382:-58 4553:-75 4722:-999
33886 0:-999 932:-65 1307:-68 1693:-74 2111:-91 2182:-80 2755:-90 3279:-77 3465:-74 3569:-41 3953:-50 4722:-999
33911 0:-999 923:-88 969:-77 1812:-84 1850:-78 2210:-75 2960:-56 3005:-86 4230:-79 4673:-62 4722:-999
33943 0:-999 426:-65 477:-69 643:-82 952:-62 2257:-69 2258:-81 2423:-74 3463:-85 3519:-76 3627:-68 4722:-999
33984 0:-999 145:-78 1275:-82 1497:-57 1581:-51 1896:-71 2285:-54 3342:-75 3676:-33 4245:-54 4378:-70 4722:-999
34056 0:-999 441:-93 923:-86 1073:-73 1437:-52 1812:-71 2210:-66 2960:-60 4230:-69 4360:-72 4673:-49 4722:-999
54469 0:-999 281:-92 923:-88 1437:-40 1812:-79 1850:-66 3973:-61 4673:-48 4722:-999
34097 0:-999 2111:-58 2755:-57 2843:-47 3848:-60 4722:-999
220079 0:-999 84:-60 181:-75 1460:-60 2605:-67 2887:-75 3048:-64 3800:-66 3966:-60 4382:-67 4718:-83 4722:-999
220080 0:-999 84:-56 181:-71 682:-70 728:-81 968:-85 1828:-33 1966:-86 2605:-70 3966:-56 4382:-70 4722:-999
220086 0:-999 91:-79 886:-83 1497:-79 1581:-70 2770:-73 3168:-86 3342:-82 3676:-79 4378:-58 4722:-999
220097 0:-999 118:-63 312:-42 486:-77 905:-64 1460:-55 3048:-73 3947:-58 3981:-78 4014:-68 4500:-81 4722:-999
34140 0:-999 466:-71 943:-41 1755:-71 2053:-60 2067:-54 3361:-81 3836:-54 4492:-77 4653:-57 4662:-41 4722:-999
34172 0:-999 1144:-77 1192:-71 1534:-64 1558:-72 2364:-71 2693:-61 2984:-61 3521:-80 3911:-62 4120:-49 4722:-999
34175 0:-999 181:-21 486:-56 728:-67 1460:-50 1819:-56 2605:-57 2887:-56 4034:-63 4382:-58 4500:-55 4722:-999
34183 0:-999 688:-52 966:-68 1625:-50 1644:-46 2367:-68 2473:-55 4006:-55 4129:-50 4190:-55 4428:-73 4722:-999
54631 0:-999 178:-30 361:-48 686:-71 1219:-72 1594:-74 2050:-90 2788:-43 2889:-79 3588:-51 4225:-82 4722:-999
220264 0:-999 852:-66 870:-26 997:-63 1954:-70 2431:-69 2810:-83 2932:-63 3365:-67 3485:-57 4568:-77 4722:-999
54705 0:-999 499:-36 2029:-67 2097:-52 2696:-46 2804:-63 2834:-61 3036:-45 3698:-75 4079:-76 4287:-61 4722:-999
34332 0:-999 300:-69 466:-70 1354:-66 2536:-66 2539:-79 2958:-64 2997:-70 3245:-70 3788:-70 3799:-91 4722:-999
54727 0:-999 728:-73 1123:-90 1691:-73 2306:-79 2418:-63 3405:-59 3889:-63 3991:-78 4500:-51 4718:-74 4722:-999
34373 0:-999 932:-64 1307:-70 1640:-83 2182:-74 2339:-85 2677:-79 3279:-81 3320:-77 3569:-59 3953:-44 4722:-999
34374 0:-999 932:-74 1162:-87 1307:-67 1640:-91 1693:-75 2182:-82 3084:-83 3279:-81 3569:-64 3953:-42 4722:-999
119562 0:-999 291:-53 381:-66 580:-80 1643:-49 2003:-71 2334:-70 2703:-50 3190:-53 3255:-46 3971:-63 4722:-999
220431 0:-999 472:-68 690:-71 1608:-69 1959:-81 2360:-62 2498:-79 4103:-78 4413:-79 4637:-54 4722:-999
119678 0:-999 156:-74 219:-79 417:-69 564:-69 2111:-73 2401:-69 2446:-42 2716:-46 2875:-44 3279:-59 4722:-999
54994 0:-999 84:-80 682:-57 824:-53 1123:-69 1460:-54 1819:-53 2369:-80 2605:-57 2887:-52 4382:-57 4722:-999
34631 0:-999 633:-38 1340:-64 1364:-69 1703:-67 2101:-56 2775:-75 3102:-77 3938:-59 3983:-53 4267:-80 4722:-999
119759 0:-999 641:-68 1271:-66 2086:-69 2308:-68 3307:-80 4081:-84 4096:-42 4124:-84 4698:-83 4717:-65 4722:-999
220642 0:-999 905:-77 1123:-64 1226:-79 1460:-64 1819:-55 2605:-58 2887:-55 4034:-66 4356:-58 4382:-58 4722:-999
220643 0:-999 565:-76 820:-67 905:-70 925:-73 1226:-80 1460:-67 2646:-76 3033:-84 4034:-80 4356:-57 4722:-999
34703 0:-999 441:-89 969:-84 988:-76 1073:-60 1850:-84 2497:-81 2960:-45 4230:-60 4673:-40 4722:-999
220673 0:-999 1123:-53 2306:-63 2418:-68 2646:-53 2711:-53 3606:-63 3617:-60 3991:-53 4034:-53 4500:-61 4722:-999
55198 0:-999 302:-52 2758:-70 2995:-78 2997:-61 3361:-70 3406:-62 3438:-73 3788:-59 3799:-83 4318:-81 4722:-999
55199 0:-999 302:-58 2067:-58 2758:-77 2995:-79 3245:-74 3361:-62 3406:-63 3472:-45 4298:-76 4662:-45 4722:-999
34805 0:-999 700:-81 1073:-70 1437:-53 2152:-82 2210:-80 2960:-70 4230:-81 4360:-81 4673:-46 4722:-999
220799 0:-999 472:-79 690:-84 1959:-83 3470:-55 3550:-82 3564:-87 4413:-79 4637:-62 4722:-999
