54078 0:-999 166:-63 518:-81 619:-74 634:-82 659:-71 792:-89 1041:-68 1870:-68 2170:-85 3421:-999
118790 0:-999 51:-74 70:-75 750:-68 854:-68 907:-78 1032:-59 1559:-71 1750:-53 2924:-49 3421:-999
219673 0:-999 169:-78 1057:-43 1905:-31 1984:-89 1994:-78 2069:-50 2231:-84 2798:-83 2813:-41 2995:-88 3421:-999
54288 0:-999 109:-86 242:-84 533:-85 666:-86 682:-79 757:-80 1021:-77 1992:-69 2735:-89 3194:-84 3421:-999
119061 0:-999 826:-59 854:-73 899:-79 1032:-57 1347:-86 1585:-62 1750:-39 1948:-62 2924:-56 3193:-81 3421:-999
219944 0:-999 239:-69 297:-72 353:-75 624:-64 1409:-48 1562:-66 1777:-76 2495:-67 2802:-53 3017:-66 3421:-999
119216 0:-999 235:-31 567:-76 1106:-46 1323:-47 1914:-76 2015:-48 3157:-65 3263:-75 3285:-76 3313:-44 3421:-999
220106 0:-999 177:-52 396:-70 618:-83 701:-77 856:-59 1328:-82 1874:-42 2987:-86 3421:-999
119253 0:-999 98:-86 541:-81 1315:-82 1576:-89 2009:-61 2585:-86 2623:-84 2993:-86 3051:-90 3421:-999
220138 0:-999 169:-78 565:-79 583:-81 593:-71 1057:-50 1847:-90 1905:-39 1994:-78 2208:-84 2286:-84 3421:-999
220185 0:-999 565:-73 593:-58 1314:-72 1984:-80 2108:-35 2208:-79 2231:-71 2286:-79 2798:-71 2995:-80 3421:-999
220339 0:-999 233:-62 349:-73 424:-78 1127:-74 1261:-77 1548:-49 1607:-49 1678:-46 2534:-62 3266:-80 3421:-999
34376 0:-999 256:-84 393:-72 488:-74 505:-68 2167:-78 2344:-50 2712:-85 2894:-82 3066:-79 3173:-82 3421:-999
119494 0:-999 177:-94 1360:-95 1900:-81 2267:-85 3098:-87 3179:-78 3234:-81 3286:-50 3421:-999
54822 0:-999 428:-56 539:-54 790:-53 1805:-73 2174:-73 2628:-65 2827:-64 3376:-51 3421:-999
220425 0:-999 143:-84 620:-77 792:-85 902:-63 1023:-69 1440:-70 1458:-64 2058:-84 2409:-58 2752:-74 3421:-999
119572 0:-999 593:-70 2108:-66 2115:-82 2291:-56 2597:-56 2813:-43 3356:-66 3421:-999
220463 0:-999 297:-78 384:-64 853:-60 1645:-58 1777:-85 1840:-81 1913:-80 2933:-78 3353:-84 3421:-999
119614 0:-999 298:-48 734:-48 902:-74 1919:-66 1953:-39 1957:-82 2058:-46 2569:-53 2625:-74 3170:-49 3421:-999
220507 0:-999 8:-62 80:-56 475:-81 563:-75 797:-48 2503:-86 2946:-76 3047:-67 3125:-81 3206:-46 3421:-999
119688 0:-999 487:-50 570:-68 593:-66 973:-75 1052:-67 1764:-74 1905:-65 2251:-67 2868:-67 3328:-38 3421:-999
220580 0:-999 484:-80 1328:-73 1459:-80 1900:-82 1956:-80 2574:-78 2708:-77 3098:-78 3179:-72 3286:-34 3421:-999
55024 0:-999 780:-62 1195:-64 1575:-75 1632:-82 1898:-68 2096:-70 2308:-70 2969:-68 3360:-36 3421:-999
55068 0:-999 487:-48 1052:-64 1764:-66 1867:-63 1944:-67 2251:-66 2868:-64 2916:-68 3283:-67 3328:-38 3421:-999
220686 0:-999 1094:-69 1360:-48 1721:-60 1928:-66 2031:-61 2167:-60 2969:-70 3066:-71 3335:-67 3346:-72 3421:-999
