54079 0:-999 634:-50 752:-88 1556:-86 2194:-86 2689:-50 2898:-91 3717:-51 4012:-88 4097:-64 4415:-999
33663 0:-999 80:-47 106:-49 130:-42 322:-68 1910:-57 2071:-67 2690:-57 3979:-49 4090:-49 4248:-43 4415:-999
219688 0:-999 937:-73 978:-80 1122:-80 1579:-79 2531:-83 2824:-89 3068:-55 3332:-56 3365:-79 4227:-79 4415:-999
219689 0:-999 56:-86 530:-83 564:-75 831:-77 1170:-89 1800:-95 1909:-78 3162:-67 4200:-85 4386:-64 4415:-999
54183 0:-999 1153:-43 1906:-66 2967:-73 3135:-59 3219:-75 3236:-63 3355:-60 3428:-82 3882:-77 4063:-40 4415:-999
219790 0:-999 18:-69 181:-56 700:-52 1410:-76 2529:-51 2590:-72 3145:-42 3599:-42 4263:-79 4338:-76 4415:-999
54245 0:-999 23:-50 489:-58 745:-38 1153:-85 2590:-85 3219:-80 3428:-69 4094:-62 4160:-88 4415:-999
54277 0:-999 139:-75 661:-40 773:-73 1561:-82 2247:-83 3228:-74 3384:-80 3983:-67 4058:-77 4313:-91 4415:-999
119000 0:-999 730:-74 817:-69 1521:-43 1879:-88 2155:-80 2449:-82 3440:-45 3847:-83 4415:-999
119001 0:-999 133:-35 730:-64 817:-75 1156:-75 1374:-79 1521:-48 2905:-71 3440:-37 3847:-83 4415:-999
54312 0:-999 400:-52 566:-59 1103:-77 2179:-78 2288:-66 2347:-48 2440:-50 2753:-71 3246:-51 3688:-56 4415:-999
119007 0:-999 358:-57 566:-60 1993:-59 2347:-44 2440:-48 3099:-79 3688:-58 3817:-71 4114:-73 4319:-75 4415:-999
119008 0:-999 427:-65 643:-72 822:-73 913:-69 1175:-75 1259:-62 1377:-77 2004:-72 3742:-64 4415:-999
219886 0:-999 310:-54 940:-69 1466:-65 1909:-49 2408:-64 2534:-63 2899:-51 3850:-64 4386:-53 4415:-999
54326 0:-999 123:-67 209:-52 283:-80 1364:-75 1400:-78 1598:-73 2577:-70 2720:-77 4102:-81 4393:-81 4415:-999
219909 0:-999 730:-68 994:-74 1879:-54 2113:-76 2449:-42 2573:-81 3293:-58 3582:-51 3690:-83 3847:-85 4415:-999
219932 0:-999 151:-70 429:-56 617:-64 971:-63 1630:-74 2247:-75 3621:-74 3707:-69 3994:-67 4381:-67 4415:-999
