118783 0:-999 55:-66 185:-66 378:-53 1506:-70 1556:-74 1666:-48 1855:-54 2061:-61 2186:-48 2223:-999
118792 0:-999 180:-62 287:-89 337:-29 909:-89 1109:-85 1458:-66 1538:-84 1813:-87 2064:-87 2177:-88 2223:-999
33785 0:-999 319:-73 657:-35 774:-56 1097:-60 1191:-70 1395:-56 1815:-71 1953:-73 1983:-76 2002:-78 2223:-999
119058 0:-999 596:-78 817:-89 1180:-89 1324:-90 1406:-65 1427:-87 2091:-84 2223:-999
34076 0:-999 6:-65 375:-40 486:-58 787:-66 1393:-79 1506:-91 1601:-67 2025:-47 2175:-75 2223:-999
119277 0:-999 264:-30 1123:-80 1194:-68 1207:-44 1235:-55 1694:-76 1726:-44 1801:-75 2047:-30 2069:-67 2223:-999
119315 0:-999 664:-40 937:-60 1415:-68 1817:-63 1821:-71 1852:-62 1866:-62 2006:-58 2135:-61 2148:-59 2223:-999
34294 0:-999 94:-42 296:-84 502:-60 657:-62 956:-73 1191:-70 1395:-59 1786:-67 1814:-41 2123:-65 2223:-999
220397 0:-999 62:-86 94:-50 502:-71 956:-80 1217:-82 1786:-73 1814:-47 1983:-87 2222:-65 2223:-999
119532 0:-999 50:-73 180:-79 264:-45 829:-61 1207:-52 1235:-63 1263:-52 1894:-69 2156:-51 2181:-65 2223:-999
119533 0:-999 464:-95 596:-72 646:-90 1158:-95 1406:-68 1498:-89 1652:-85 2078:-87 2091:-80 2223:-999
119534 0:-999 50:-95 464:-90 596:-71 901:-92 940:-93 1180:-91 1406:-64 1427:-91 2078:-93 2091:-83 2223:-999
34563 0:-999 180:-74 1692:-59 1807:-52 2203:-53 2223:-999
119778 0:-999 50:-92 596:-73 1406:-61 2223:-999
119779 0:-999 596:-76 646:-93 2091:-83 2223:-999
220711 0:-999 237:-87 550:-62 674:-80 1163:-79 1192:-64 1217:-86 1228:-61 1251:-60 1392:-84 2223:-999
55160 0:-999 375:-42 486:-67 787:-69 799:-82 1016:-81 1089:-84 1601:-66 1995:-89 2025:-43 2175:-78 2223:-999
55274 0:-999 22:-91 94:-54 453:-64 502:-78 657:-70 1191:-72 1786:-74 1814:-48 2123:-72 2222:-65 2223:-999
119972 0:-999 104:-61 312:-76 503:-61 667:-42 682:-63 918:-73 1361:-40 1382:-68 1910:-44 1975:-54 2223:-999
34885 0:-999 464:-91 596:-75 646:-90 762:-91 817:-94 993:-92 1202:-94 1700:-93 1845:-92 2091:-85 2223:-999
34886 0:-999 596:-67 646:-94 1406:-55 2091:-91 2223:-999
55285 0:-999 546:-63 646:-61 817:-61 940:-47 1202:-46 1262:-66 1406:-64 1700:-45 1845:-54 2091:-61 2223:-999
55336 0:-999 596:-77 762:-85 1406:-65 1427:-91 1845:-93 2223:-999
35000 0:-999 664:-48 722:-65 928:-58 937:-47 1231:-55 1588:-64 1821:-58 1864:-64 1866:-56 2057:-44 2223:-999
35001 0:-999 519:-53 664:-70 672:-73 808:-39 959:-51 1308:-71 1499:-91 1636:-78 2080:-85 2084:-78 2223:-999
120191 0:-999 81:-90 224:-79 305:-81 646:-61 817:-80 993:-81 1324:-79 1652:-73 2078:-74 2163:-89 2223:-999
55594 0:-999 20:-72 180:-60 337:-40 388:-76 1253:-87 1458:-59 1692:-33 1807:-69 2157:-74 2203:-70 2223:-999
